idx,rna_mean,prot_mean,mutation_freq,rna_prot_corr,transcriptomic,proteomic,genomic,score
AHNAK,14.632023170731705,30.600041685960633,0.07317073170731707,0.14067261646457907,0.9929062768701634,0.9974204643164231,0.9969905417024936,0.9957724276296933
COL3A1,15.494590243902438,29.764644764816772,0.036585365853658534,0.6115410150085437,0.9974204643164231,0.9926913155631987,0.9445399828030955,0.9782172542275724
FLNA,13.313395121951222,30.23002583915545,0.036585365853658534,0.4883517177275307,0.9802235597592434,0.9954858125537404,0.9445399828030955,0.9734164517053596
RPSA,15.58244146341463,28.550443687002254,0.036585365853658534,0.17274612132318626,0.9980653482373173,0.9759243336199485,0.9445399828030955,0.9728432215534537
PRKDC,12.263347560975612,28.383211389050906,0.07317073170731707,0.33252794375333317,0.9417454858125538,0.9733447979363714,0.9969905417024936,0.9706936084838063
VCAN,12.142939024390245,28.562691582236976,0.06097560975609756,0.8538544421588795,0.9303525365434222,0.976354256233878,0.992798796216681,0.9665018629979936
GNAS,14.474848780487811,26.558801588359433,0.06097560975609756,0.3191863344282437,0.9922613929492692,0.9138005159071367,0.992798796216681,0.9662869016910289
COPA,12.534139024390242,27.6108444072429,0.04878048780487805,0.08048585376482775,0.9574376612209802,0.9535683576956148,0.9814058469475494,0.9641372886213814
MUC16,12.076780487804879,27.79141070151952,0.13414634146341464,0.4586500944229078,0.922828890799656,0.9567927773000859,0.9995700773860705,0.9597305818286042
CAPRIN1,13.588207317073174,27.002284261774783,0.036585365853658534,0.4955403545520768,0.9849527085124677,0.9316423043852107,0.9445399828030955,0.9537116652335913
PPP2R1A,12.280541463414632,28.34765439997613,0.036585365853658534,0.08662338581220005,0.9430352536543423,0.9722699914015477,0.9445399828030955,0.9532817426196618
COL12A1,12.151308536585363,28.5232474587022,0.036585365853658534,0.582438153698806,0.9316423043852107,0.9757093723129837,0.9445399828030955,0.9506305531670967
FLNB,11.665732926829268,28.02198228830464,0.04878048780487805,0.23480499126930568,0.8824161650902838,0.9636715391229579,0.9814058469475494,0.9424978503869303
TLN1,11.765542682926826,29.190472906803603,0.036585365853658534,0.3501959077264445,0.8948839208942391,0.9866723989681857,0.9445399828030955,0.9420321008885066
VIM,14.702407317073169,32.09803406541787,0.024390243902439025,0.7286965134167899,0.9935511607910577,1.0,0.8157781599312124,0.9364431069074233
